AVGDPD0_EVER;CNTGOODPOS;CNTUNIQUEPHONES;FIRSTADATENOTRD;CNTUNSUCCESSFULWEEKS24M;INSTALMENTCNTPAIDINTIME;AVGDPD0_36M;NUMINSTTOPAYGR;TEXTLASTRISKPRODCOMBINATION;PARTEPCOUNT;AVGDPD0_12M;CODEPAIDOFFAFTERDPD;NUMREJECTS9M;LASTFULLEPDATE
;0;1;795;0;25;0.433333333333333;12;0.023198651;1;0.68421052631579;0;0;
;0;0;779;1;2;3.6;0;0.023198651;;5.5;0;1;
;0;1;3508;0;4;;0;0.023198651;;;0;0;3387
1;2;1;5455;0;119;0;24;0.020120724;9;0;0;0;1761
0.285714285714286;0;1;5164;1;69;0.166666666666667;48;0.023198651;7;0;0;0;347
;1;0;4284;2;14;;0;0.026860354;;;0;0;
8.71428571428571;1;1;3410;4;40;0;0;0.023198651;;0;0;3;28
;4;1;5049;2;56;0;0;0.020120724;2;;0;2;430
0.5;0;0;3581;14;21;0;50;0.023198651;;0;0;12;
;0;0;283;0;8;0;2;0.023198651;;0;0;0;
;1;1;4651;0;22;0;0;0.023198651;;;0;0;
0;1;0;172;2;6;0;0;0.023198651;1;0;0;3;10
2.83333333333333;2;1;3382;0;70;0.564102564102564;0;0.020120724;1;0;0;0;1765
;;;3573;2;32;;0;0.026860354;;;;0;1605
;;;1762;0;12;0;0;0.023198651;;;;0;865
;1;0;1850;1;5;;0;0.031356486;;;0;0;
1;1;1;2823;0;19;0.2;0;0.023198651;;0.2;0;0;
;1;1;1703;0;36;0.375;0;0.023198651;1;;0;0;1283
0;0;1;383;0;12;0;3;0.023198651;;0;0;0;
;1;1;266;0;7;0.125;16;0.023198651;;0.125;0;0;
1.76923076923077;2;1;5100;4;140;0.0136986301369863;97;0.023198651;2;0;0;4;342
;0;0;922;1;25;0;0;0.023198651;1;0;0;1;351
3.66666666666667;1;1;2312;9;105;0.169014084507042;60;0.023198651;1;0;0;2;81
0.0963855421686747;1;1;3107;8;58;0;18;0.023198651;9;0;0;6;161
0;2;2;734;1;42;0;18;0.023198651;1;0;0;0;
;1;1;3569;0;10;;0;0.023198651;;;0;0;2965
;0;0;3778;0;35;;0;0.023198651;;;0;0;
0.3;0;1;3585;1;74;0.230769230769231;4;0.020120724;2;0.166666666666667;0;0;
;2;1;2420;0;11;0;0;0.023198651;;0;0;0;227
0.0196078431372549;0;1;5250;0;80;0;51;0.023198651;;0;0;0;280
;2;1;3967;1;65;0.222222222222222;0;0.020120724;;;0;0;835
0.5;1;2;2608;1;28;0;45;0.023198651;1;0;0;0;2305
0.0857142857142857;0;1;1914;0;34;0;43;0.020120724;;0;0;0;
;1;0;1520;0;4;;0;0.023198651;3;;0;0;1396
;0;1;1562;0;11;0;0;0.031356486;2;;0;0;455
;2;0;435;0;3;0;0;0.031356486;2;0;0;0;342
;2;1;4546;0;38;0.166666666666667;2;0.031356486;;0.294117647058824;0;0;1061
;3;0;5566;0;62;;0;0.023198651;;;0;0;
0;2;1;2324;6;27;0;14;0.031356486;12;0;0;4;2173
2;1;1;538;1;15;0.904761904761905;0;0.023198651;2;1.1875;0;1;23
;;;4880;0;31;;0;0.023198651;;;;0;
0;0;1;1501;5;39;0;24;0.023198651;6;0;0;4;376
;;;4441;0;17;;0;0.023198651;;;;0;1243
0.5;1;2;4242;0;27;0;56;0.023198651;;0;0;0;3313
0;1;1;1575;4;36;0;39;0.023198651;;0;0;4;
;1;0;5278;0;42;;0;0.031356486;;;0;0;1370
;1;1;2668;3;26;0;0;0.023198651;;0;0;1;318
;;;5236;0;3;;0;0.026860354;;;;0;
;0;1;3589;2;36;0;0;0.020120724;;;0;2;612
;1;1;5385;5;60;0.333333333333333;0;0.031356486;2;0.142857142857143;0;5;2651
;1;0;4058;1;44;;0;0.023198651;6;;0;0;1538
;0;1;2047;0;7;;0;0.023198651;;;0;0;
;1;1;5349;0;36;;0;0.023198651;;;0;0;3194
1.2;1;1;3381;1;27;1.5;12;0.023198651;;1.5;0;0;1726
;1;2;5619;0;82;0;0;0.023198651;;0;0;0;356
